UnixTimeStamp, PupilDiameterRight, PupilDiameterLeft, PupilPositionRight(X), PupilPositionRight(Y), PupilPositionLeft(X), PupilPositionLeft(Y), EyeOpenRight, EyeOpenLeft, GazeOriginRight(X), GazeOriginRight(Y), GazeOriginRight(Z), GazeOriginLeft(X), GazeOriginLeft(Y), GazeOriginLeft(Z), GazeDirectionRight(X), GazeDirectionRight(Y), GazeDirectionRight(Z), GazeDirectionLeft(X), GazeDirectionLeft(Y), GazeDirectionLeft(Z), CurrentFocusObject
BEGIN1
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.33055, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.33055, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.33055, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, 2.571365, -1, -1, 0.4249703, 0.57069, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, -0.04977417, -0.1088715, 0.9927979, Eye L
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801410, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, -1, -1, -1, -1, -1, 0, 0, -29.88985, 8.750748, -56.50198, 34.6925, 4.397003, -44.29552, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, 2.774567, -1, -1, 0.4268166, 0.5817243, 0, 0, -29.88985, 8.750748, -56.50198, 34.66727, 4.613052, -44.29153, 0, 0, 0, -0.05563354, -0.2101746, 0.9760742, Nothing
1609801411, -1, -1, -1, -1, -1, -1, 0, 0.1, -29.88985, 8.750748, -56.50198, 34.63327, 4.618713, -44.29298, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, -1, -1, -1, -1, -1, 0, 0.1, -29.88985, 8.750748, -56.50198, 34.63327, 4.618713, -44.29298, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, -1, -1, -1, -1, -1, 0, 0.1, -29.88985, 8.750748, -56.50198, 34.63327, 4.618713, -44.29298, 0, 0, 0, 0, 0, 0, Nothing
1609801411, -1, 2.945465, -1, -1, 0.4268166, 0.5817243, 0, 0.1, -29.88985, 8.750748, -56.50198, 34.66727, 4.613052, -44.29153, 0, 0, 0, -0.0572052, -0.2096863, 0.9760895, Nothing
END1
